フランス語文化演習１,教科書,『時事フランス語2020年度版』（朝日出版社）
文系エッセンス４５：シミュレーション社会科学,教科書,なし
日本語第五A,教科書,特に指定しない。
情報リテラシ第一2b(IL1),教科書,なし
情報リテラシ第一4c(IL1),教科書,なし
情報リテラシ第二2a(IL2),教科書,なし
TOEFL対策セミナー第十三2,教科書,Longman Preparation Course for the TOEFLiBT Test. 3rd Edition. 
TOEFL対策セミナー第十三2,教科書,Deborah Phillips Pearson Education 2015. ISBN 10:0-13-324802-X
日本企業研究とコミュニケーションスキルII,教科書,特になし
英語プレゼンテーション演習第一,教科書,Materials provided
フランス語初級１F03,教科書,『場面で学ぶフランス語１[三訂版]』（三修社）
ドイツ語初級１D31,教科書,担当教員が指定するもの
リーダーシップ道場11,教科書,授業時に新書を指定する予定です．
教養特論：オンライン学習コース概論,教科書,教材詳細については、下記ウェブサイトで5月から6月まで観覧可能です。
グローバル課題への挑戦,教科書,なし
クリエイティブディスカッションA,教科書,"Joe Goodbread, Befriending Conflict: How to Make Conflict Safer, More Productive, and More Fun (2010)"
第二外国語海外研修1A1,教科書,なし
プロフェッショナルと価値創造I,教科書,なし
社会科学系ゼミ（政治と社会）導入１,教科書,塚田穂高編『徹底検証 日本の右傾化』（筑摩選書、2017年）
技術移転と知財,教科書,なし
リーダーシップ・グループワーク発展IS,教科書,なし
線形代数学第一・演習D（21～27）,教科書,梶原健「行列のヒミツがわかる！使える！線形代数講義」（日本評論社）
力学基礎２N,教科書,講義ノートを事前にpdfで配布。
無機化学基礎C,教科書,理工系学生のための基礎化学　無機化学　2020年度版，植草他，化学同人
無機化学基礎E,教科書,理工系学生のための基礎化学　無機化学　2020年度版，植草他，化学同人
ウェルネス実習B1,教科書,なし
東工大立志プロジェクト11,教科書,東工大立志プロジェクトガイドブック
東工大立志プロジェクト16,教科書,東工大立志プロジェクトガイドブック
東工大立志プロジェクト21,教科書,東工大立志プロジェクトガイドブック
東工大立志プロジェクト23,教科書,東工大立志プロジェクトガイドブック
東工大立志プロジェクト37,教科書,東工大立志プロジェクトガイドブック
教養特論：多文化共生論,教科書,なし。
言語学Ｂ,教科書,[入門]ことばの世界　瀬田，保阪，外池，中島編著，大修館書店
科学史Ｃ,教科書,特になし。
技術史Ｃ,教科書,なし
英語第一1,教科書,"Issues For Today 3, (Cengage)"
英語第一5,教科書,プリント教材
英語第一37,教科書,Handouts
英語第一37,教科書,*コロナウイルス感染拡大による影響のため、教科書使用を中止いたしました。間違えないようにお気をつけください。
英語第一39,教科書,"Mills, Robin L., and Laurie L Frazier. 2014. NorthStar: Listening &amp; Speaking, Level 2. Fourth Edition. White Plains, New York: Pearson Education. (ISBN: 978-0134049793)"
英語第五19-LS,教科書,"Ellen Kisslinger (2017) Contemporary Topics 2: 21st Century Skills for Academic Success (Fourth edition), Pearson Education "
英語第五19-LS,教科書,ISBN: 978-0-13-440080-8
中国語セミナー（応用・留学）１,教科書,話してみたい中国語スピーキング倶楽部(相原茂他、朝日出版社)
発達と学習Ⅱ,教科書,原則として、講義用のハンドアウトを用いて行う
教育実習第一Ａ,教科書,なし
中級日本語31QB,教科書,中級を学ぼう 日本語の文型と表現５６ 中級前期　第２版(スリーエーネットワーク）
中級日本語31QB,教科書,ISBN： 9784883197880
アカデミックプレゼンテーション第十三4,教科書,There is no required textbook in this course.
ゲーミング教材設計演習,教科書,・http://www.et.hum.titech.ac.jp/~matsuda/Gamingの「教授活動ゲーム用ゲーム盤作成および運用マニュアル」など
ドイツ語文化演習１,教科書,授業中に指示する。
中国語文化演習１,教科書,担当教員が指定するもの。
英語スピーチ演習第十三1,教科書,"Mark Powell, Dynamic Presentations (Cambridge University Press, 2011)"
情報リテラシ第一4a(IL1),教科書,なし
